f,Ydd_c,Ydq_c,Yqd_c,Yqq_c,Ydd_g,Ydq_g,Yqd_g,Yqq_g
68,-6.55335951185627e-05+0.000441583562804836i,7.46991758123014e-05+0.000180388516643883i,-0.000105148029245263-0.00323686483026664i,6.63844775617925e-05+0.000410973645184969i,0.00367340788046463-0.0106004383660467i,0.00742972352696499+0.00348140530635698i,-0.00742972359076306-0.00348140537839466i,0.00367340797122782-0.0106004384024485i
72,-5.28743332980199e-05+0.000466307369955058i,7.82246378264918e-05+0.000169994928728919i,-0.000105661246335791-0.00305837133810614i,7.91685892776698e-05+0.000432648679116712i,0.00259731931350903-0.00925715892851251i,0.00618952804188801+0.00241775086107041i,-0.00618952813103482-0.00241775087273313i,0.00259731927095911-0.00925715891392848i
75,-4.31475983864932e-05+0.000484261114402353i,8.04544416793219e-05+0.000162967269575499i,-0.000106055981469543-0.0029370203141851i,8.88506961906974e-05+0.000448492841800457i,0.00207002187334457-0.0084432708949211i,0.00544869076466654+0.00189898714143245i,-0.0054486909022106-0.00189898717323352i,0.00207002188904202-0.00844327096463505i
77,-3.65627099687039e-05+0.000495960805836924i,8.17792230775811e-05+0.00015860364430307i,-0.000106323441769193-0.00286138328433356i,9.53485870652669e-05+0.000458860174789065i,0.00180273631534661-0.00797535126542237i,0.00502758131648047+0.00163705291069007i,-0.00502758138569167-0.0016370528985475i,0.00180273635464543-0.00797535123159234i
82,-1.97861129144173e-05+0.00052430169419758i,8.46298043381411e-05+0.000148677384097295i,-0.000107005708865107-0.00268846312293395i,0.000111733924252742+0.000484098269726439i,0.00132458051111643-0.00700940278585234i,0.00417253050753499+0.00117121800570229i,-0.00417253055727307-0.00117121803599341i,0.00132458046706672-0.0070094028231647i
87,-2.62046444450363e-06+0.000551394446021354i,8.69574140497606e-05+0.000139953221620552i,-0.000107704982388991-0.00253545388736934i,0.00012829682532901+0.000508372769212514i,0.001015873512901-0.00626095289735837i,0.00352697390457058+0.000873501933164039i,-0.00352697390024228-0.000873502016390869i,0.00101587355971708-0.00626095299065415i
93,1.83916078631002e-05+0.000582331435875565i,8.92354472032413e-05+0.000130785434162825i,-0.000108562361337042-0.00237359420754431i,0.000148357941562524+0.000536248526651308i,0.000771340886757936-0.00556068734398483i,0.00294077476234092+0.000640664525437472i,-0.00294077476601304-0.000640664562966785i,0.000771340963094382-0.00556068733002692i
96,2.90326049554325e-05+0.000597178828266222i,9.02092008218168e-05+0.000126652353522579i,-0.000108997066155068-0.00230026189936515i,0.0001584451584423+0.000549681651020369i,0.000681682495172053-0.00527019976431873i,0.0027038360519213+0.000556320463257661i,-0.00270383597106214-0.000556320460132874i,0.000681682521590993-0.00527019975470025i
99,3.97449419081734e-05+0.00061162429478084i,9.10925358637024e-05+0.000122781493453404i,-0.000109434983894224-0.00223137902409706i,0.000168558641395261+0.000562783686014007i,0.000607223887176792-0.005010880352117i,0.00249592693920896+0.000486858671592485i,-0.00249592696941791-0.000486858663903359i,0.000607223851984912-0.00501088041357239i
105,6.13305033140845e-05+0.000639344299129974i,9.26331770097701e-05+0.000115731883657277i,-0.000110318179090122-0.00210543163064186i,0.000188829447724619+0.000588013095009712i,0.00049165933908676-0.00456738387801778i,0.00214932625541871+0.000380432364845121i,-0.00214932620616473-0.000380432421502295i,0.000491659416788091-0.00456738387424903i
112,8.66722484086056e-05+0.000669787885316814i,9.41277371553259e-05+0.000108498640759874i,-0.000111356150200075-0.00197555520711019i,0.000212475100992843+0.000615851822986801i,0.000395246480633329-0.00414676146361891i,0.00183273992863383+0.000293425407598841i,-0.00183273992955865-0.000293425556731315i,0.000395246405680023-0.00414676141268652i
116,0.000101175958618751+0.000686306559057105i,9.48659910346439e-05+0.000104770875545429i,-0.000111950628322428-0.00190837689118307i,0.000225946665642823+0.000631014712334354i,0.000352804651637108-0.00394212749267725i,0.00168364092773852+0.00025583336182264i,-0.00168364096928256-0.000255833306313699i,0.000352804626774139-0.003942127455296i
119,0.000112044925685504+0.00069829218904719i,9.53737003858684e-05+0.000102144667959716i,-0.000112396291538099-0.00186095507497534i,0.000236016752913094+0.000642042587589787i,0.000325475756755052-0.00380251220881089i,0.00158396208081537+0.000231918384970726i,-0.00158396213514763-0.000231918273681966i,0.000325475841305389-0.00380251210041863i
127,0.000140911480994386+0.000728633761887494i,9.65667944244078e-05+9.57641870827199e-05i,-0.000113580475542787-0.00174543732331259i,0.000262669600162472+0.000670061286264759i,0.00026688520046309-0.0034777892893688i,0.0013591546956219+0.000181598837311372i,-0.00135915459004655-0.000181598897378379i,0.000266885153424076-0.00347778927266573i
135,0.000169474277375569+0.000756749147320308i,9.75713153457774e-05+9.01560947580188e-05i,-0.00011475280619075-0.00164358477502029i,0.000288929962955935+0.000696163315439881i,0.000223312984913403-0.00320786815009314i,0.00118055121326737+0.000145249954768139i,-0.00118055131950279-0.000145249889403891i,0.000223313059887703-0.00320786813506542i
136,0.000173015713852032+0.000760115266895174i,9.76859057032991e-05+8.95022857483334e-05i,-0.000114898192527656-0.00163169345939799i,0.000292179159602208+0.000699298003489025i,0.000218660100908988-0.00317727338410179i,0.00116082148147189+0.000141435066178382i,-0.00116082155934989-0.000141435099871161i,0.000218660135555483-0.00317727330471429i
143,0.000197587200904652+0.000782803406025213i,9.84301170302598e-05+8.51849925342855e-05i,-0.000115907067021222-0.00155309519269229i,0.000314686445104907+0.000720483951806522i,0.00018996118933846-0.00297954679566071i,0.00103601233802457+0.000118242620830619i,-0.00103601216565858-0.000118242694117238i,0.000189961025728858-0.00297954676154078i
153,0.000231913370676056+0.000812722186170979i,9.93448715480908e-05+7.97082910652905e-05i,-0.000117316733758664-0.00145323675088696i,0.00034603388729746+0.000748589136774003i,0.000158157663474113-0.002738844489562i,0.000890790064792412+9.33413226177187e-05i,-0.000890790056483413-9.3341217162156e-05i,0.000158157645806576-0.00273884459155734i
155,0.000238654428331049+0.000818377898377282i,9.95102567914106e-05+7.86980354604128e-05i,-0.000117593586910555-0.00143480332501523i,0.000352178443427673+0.000753925506669937i,0.000152800527111127-0.00269560715831453i,0.000865535307119021+8.92448555962668e-05i,-0.000865535334439972-8.92448538323002e-05i,0.000152800582291227-0.00269560722048895i
162,0.000261890575565929+0.000837372977237947i,0.000100049999819509+7.53582719140531e-05i,-0.000118547894904914-0.00137384901502336i,0.000373332515920957+0.000771908090116866i,0.00013612526947398-0.00255511614843091i,0.000785321073641991+7.67048241661534e-05i,-0.000785321149240624-7.67048584715413e-05i,0.000136125346246099-0.00255511611721454i
173,0.000297199774852755+0.0008649033409407i,0.000100793205321582+7.06526835942495e-05i,-0.000119997942272382-0.0012879621890627i,0.000405408463636054+0.000798151518469884i,0.000115122764835184-0.0023632520842784i,0.000680558364540736+6.14316050705861e-05i,-0.00068055843503875-6.14315804327092e-05i,0.000115122857679925-0.00236325217087501i
174,0.00030033288423057+0.000867276427458714i,0.000100855278296222+7.02540730776118e-05i,-0.000120126597694849-0.0012806885099624i,0.000408251008733949+0.000800424595223943i,0.000113468248603929-0.002347312700452i,0.000672114512260091+6.02564054616206e-05i,-0.000672114504613056-6.02564062794668e-05i,0.00011346815905975-0.00234731269965536i
